obs_time,location,obs
2023-05-12 07:00:00,131,9.2
2023-05-12 08:00:00,131,7.0
2023-05-12 09:00:00,131,7.5
2023-05-12 10:00:00,131,5.9
2023-05-12 11:00:00,131,5.9
2023-05-12 12:00:00,131,3.9
2023-05-12 13:00:00,131,8.5
2023-05-12 14:00:00,131,13.5
2023-05-12 15:00:00,131,16.3
2023-05-12 16:00:00,131,19.6
2023-05-12 17:00:00,131,21.6
2023-05-12 18:00:00,131,22.4
2023-05-12 19:00:00,131,23.1
2023-05-12 20:00:00,131,23.8
2023-05-12 21:00:00,131,24.0
2023-05-12 22:00:00,131,23.9
2023-05-12 23:00:00,131,24.0
2023-05-13 00:00:00,131,22.3
2023-05-13 01:00:00,131,22.0
2023-05-13 02:00:00,131,20.5
2023-05-13 03:00:00,131,19.4
2023-05-13 04:00:00,131,18.7
2023-05-13 05:00:00,131,18.5
2023-05-13 06:00:00,131,16.0
2023-05-13 07:00:00,131,11.0
2023-05-13 08:00:00,131,7.9
2023-05-13 09:00:00,131,7.4
2023-05-13 10:00:00,131,5.7
2023-05-13 11:00:00,131,4.6
2023-05-13 12:00:00,131,5.2
2023-05-13 13:00:00,131,5.9
2023-05-13 14:00:00,131,9.6
2023-05-13 15:00:00,131,17.6
2023-05-13 16:00:00,131,19.0
2023-05-13 17:00:00,131,21.7
2023-05-13 18:00:00,131,21.6
2023-05-13 19:00:00,131,21.5
2023-05-13 20:00:00,131,21.2
2023-05-13 21:00:00,131,21.8
2023-05-13 22:00:00,131,22.5
2023-05-13 23:00:00,131,22.7
2023-05-14 00:00:00,131,22.7
2023-05-14 01:00:00,131,22.1
2023-05-14 02:00:00,131,20.2
2023-05-14 03:00:00,131,17.7
2023-05-14 04:00:00,131,12.1
2023-05-14 05:00:00,131,9.1
2023-05-14 06:00:00,131,6.5
2023-05-14 07:00:00,131,5.0
2023-05-14 08:00:00,131,4.2
2023-05-14 09:00:00,131,2.8
2023-05-14 10:00:00,131,4.2
2023-05-14 11:00:00,131,7.5
2023-05-14 12:00:00,131,8.9
2023-05-14 13:00:00,131,12.2
2023-05-14 14:00:00,131,14.4
2023-05-14 15:00:00,131,16.3
2023-05-14 16:00:00,131,18.8
2023-05-14 17:00:00,131,21.4
2023-05-14 18:00:00,131,24.0
2023-05-14 19:00:00,131,24.9
2023-05-14 20:00:00,131,26.5
2023-05-14 21:00:00,131,26.8
2023-05-14 22:00:00,131,27.5
2023-05-14 23:00:00,131,28.0
2023-05-15 00:00:00,131,28.3
2023-05-15 01:00:00,131,26.8
2023-05-15 02:00:00,131,22.5
2023-05-15 03:00:00,131,17.9
2023-05-15 04:00:00,131,16.5
2023-05-15 05:00:00,131,13.0
2023-05-15 06:00:00,131,9.9
2023-05-15 07:00:00,131,11.4
2023-05-15 08:00:00,131,11.2
2023-05-15 09:00:00,131,10.5
2023-05-15 10:00:00,131,11.7
2023-05-15 11:00:00,131,9.3
2023-05-15 12:00:00,131,9.7
2023-05-15 13:00:00,131,10.6
2023-05-15 14:00:00,131,11.1
2023-05-15 15:00:00,131,18.4
2023-05-15 16:00:00,131,21.2
2023-05-15 17:00:00,131,21.9
2023-05-15 18:00:00,131,21.8
2023-05-15 19:00:00,131,22.6
2023-05-15 20:00:00,131,19.4
2023-05-15 21:00:00,131,19.5
2023-05-15 22:00:00,131,18.2
2023-05-15 23:00:00,131,18.3
2023-05-16 00:00:00,131,17.8
2023-05-16 01:00:00,131,16.9
2023-05-16 02:00:00,131,16.0
2023-05-16 03:00:00,131,15.1
